name_shop;name_function;links
jahwaggysrecords;scrap_jahwaggysrecords;https://jahwaggysrecords.com/fr/5-brand-new-7-vinyl-selection,https://jahwaggysrecords.com/fr/6-brand-new-10-vinyl-selection,https://jahwaggysrecords.com/fr/7-brand-new-12-vinyl-selection,https://jahwaggysrecords.com/fr/8-brand-new-lp-vinyl-selection,https://jahwaggysrecords.com/fr/18-test-press-selection
onlyrootsreggae;scrap_onlyrootsreggae;https://www.onlyroots-reggae.com/fr/21-singles-7-45t/s-1/?page=1&order=product.date_add.desc,https://www.onlyroots-reggae.com/fr/20-maxis-12-10/s-1/?page=1&order=product.date_add.desc,https://www.onlyroots-reggae.com/fr/17-albums-lp-33t/s-1/?page=1&order=product.date_add.desc
controltower;scrap_controltower;https://controltower.fr/fr/
reggaefever;scrap_reggaefever;https://www.reggaefever.ch/catalog?format=7&sort=relDate_riddim,https://www.reggaefever.ch/catalog?format=10&sort=relDate_riddim,https://www.reggaefever.ch/catalog?format=12&sort=relDate_riddim
pataterecords;scrap_pataterecords;https://www.patate-records.com/shop/1/1/1/type/1/,https://www.patate-records.com/shop/1/1/1/type/2/,https://www.patate-records.com/shop/1/1/1/type/3/
toolboxrecords;scrap_toolboxrecords;https://www.toolboxrecords.com/fr/catalog/list/categoryID/3/item_nbr/60
lionvibes;scrap_lionvibes;https://shop.lionvibes.com/search.php?mode=quicksearch&search_string=&format=7&decade=&pressing=&period=&page=1&sort_by=created_desc,https://shop.lionvibes.com/search.php?mode=quicksearch&sort_by=created_desc&search_string=&format=10&decade=&pressing=&period=&page=1&sort_by=created_desc,https://shop.lionvibes.com/search.php?mode=quicksearch&sort_by=created_desc&sort_by=created_desc&search_string=&format=12&decade=&pressing=&period=&page=1,https://shop.lionvibes.com/search.php?mode=quicksearch&sort_by=created_desc&sort_by=created_desc&search_string=&format=lp&decade=&pressing=&period=&page=1
reggaemuseum;scrap_reggaemuseum;https://www.reggae-museum.com/shop/14-rub-a-dub-early-digital?amp%253Borderby=quantity&orderby=quantity&orderway=desc&p=,https://www.reggae-museum.com/shop/15-ska-rocksteady-roots?orderby=quantity&orderway=desc&p=,https://www.reggae-museum.com/shop/16-dancehall-new-roots?orderby=quantity&orderway=desc&p=,https://www.reggae-museum.com/shop/18-lp-albums?orderby=quantity&orderway=desc&p=


